,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
12092,1806 CRESTRIDGE DR,"1806 CRESTRIDGE DR Cobb County, GA",2018-10-11,"$130,000.00",130000,996,130.52208835341366,"https://www.google.com/maps/search/1806%20CRESTRIDGE%20DR%20Cobb%20County,%20GA",33.9452521,-84.4998094
12093,928 BOBCAT CT,"928 BOBCAT CT Cobb County, GA",2018-10-11,"$235,000.00",235000,1272,184.748427672956,"https://www.google.com/maps/search/928%20BOBCAT%20CT%20Cobb%20County,%20GA",33.9289044,-84.4726975
12094,1581 JOYNER AVE,"1581 JOYNER AVE Cobb County, GA",2018-10-11,"$95,000.00",95000,1036,91.6988416988417,"https://www.google.com/maps/search/1581%20JOYNER%20AVE%20Cobb%20County,%20GA",33.9144882,-84.5445379
12095,1911 KENWOOD RD,"1911 KENWOOD RD Cobb County, GA",2018-10-11,"$303,700.00",303700,2028,149.7534516765286,"https://www.google.com/maps/search/1911%20KENWOOD%20RD%20Cobb%20County,%20GA",33.8330404,-84.4980269
12096,470 DON CIR,"470 DON CIR Cobb County, GA",2018-10-11,"$153,000.00",153000,1216,125.82236842105264,"https://www.google.com/maps/search/470%20DON%20CIR%20Cobb%20County,%20GA",33.9433354,-84.6377345
12097,2539 PARK DR NW,"2539 PARK DR NW Cobb County, GA",2018-10-11,"$175,000.00",175000,1856,94.28879310344828,"https://www.google.com/maps/search/2539%20PARK%20DR%20NW%20Cobb%20County,%20GA",34.0246512,-84.6223401
12098,1141 WEIGHHOUSE PL,"1141 WEIGHHOUSE PL Cobb County, GA",2018-10-11,"$397,990.00",397990,3358,118.51995235259083,"https://www.google.com/maps/search/1141%20WEIGHHOUSE%20PL%20Cobb%20County,%20GA",33.9879466,-84.6630737
12099,1012 CHATEAU LN,"1012 CHATEAU LN Cobb County, GA",2018-10-11,"$250,000.00",250000,1567,159.5405232929164,"https://www.google.com/maps/search/1012%20CHATEAU%20LN%20Cobb%20County,%20GA",33.8872085,-84.5454606
12100,776 BRIDGET WALK,"776 BRIDGET WALK Cobb County, GA",2018-10-11,"$393,000.00",393000,1722,228.22299651567943,"https://www.google.com/maps/search/776%20BRIDGET%20WALK%20Cobb%20County,%20GA",33.9350883,-84.7027153
12101,5755 VININGS PLACE CT,"5755 VININGS PLACE CT Cobb County, GA",2018-10-11,"$364,900.00",364900,3610,101.0803324099723,"https://www.google.com/maps/search/5755%20VININGS%20PLACE%20CT%20Cobb%20County,%20GA",33.8123203,-84.5225056
